[  712406ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  717495ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  722587ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  727686ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  732773ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  737872ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  743047ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  748132ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  753217ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  758332ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  763432ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  768524ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  773657ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  778756ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  783864ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  788961ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  794063ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  799180ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  804297ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  809403ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  814507ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  819607ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  824709ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  829815ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  834931ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  840017ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  845126ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  850232ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  855326ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  860430ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  865531ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  870640ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  875755ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  880842ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  885949ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  891051ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  896178ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  901285ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  906380ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
[  911501ms] [ERROR] STOMP error: Failed to send message to ExecutorSubscribableChannel[clientInboundChannel] @ http://localhost:5190/src/lib/websocket.svelte.ts:48
